date,day_of_week,time,title,hosted_by
2024-08-27,Wednesday,20:00,"The Indie Improv Show",
2024-08-27,Wednesday,21:30,"The Reunion: Love is Blind",
2024-08-28,Thursday,20:00,"Turtle Logic",
2024-08-28,Thursday,21:30,"Night Lunch",
2024-08-29,Friday,20:00,"Blumpkin Abbey",
2024-08-29,Friday,21:30,"Sketch Bomb!",
2024-08-29,Friday,23:00,"Action Jackson",
2024-08-30,Saturday,20:00,"The CCB Cage Match (Finals)",
2024-08-31,Sunday,20:00,"The CCB Improv Jam",
2024-10-08,Wednesday,20:00,"Health Plan: A Deconstruction",
2024-10-08,Wednesday,21:30,"The Salon",
2024-10-09,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2024-10-09,Thursday,21:30,"The Hedge",
2024-10-10,Friday,20:00,"House Show",
2024-10-10,Friday,21:30,"The Indie Improv Show",
2024-10-11,Saturday,20:00,"Witch Hunt",
2024-10-11,Saturday,21:30,"Full Fat Bear Milk",
2024-10-12,Sunday,20:00,"The CCB Improv Jam",Wet Teeth
2024-11-05,Wednesday,20:00,"20% Berlin Presents: The News Quiz",
2024-11-05,Wednesday,21:30,"Improvylicious Jam",
2024-11-06,Thursday,20:00,"Kringel",
2024-11-06,Thursday,21:30,"Frei erfunden – Improv Comedy und Jam auf Deutsch",
2024-11-07,Friday,20:00,"House Show",
2024-11-07,Friday,21:30,"GLB – Improvised Comedy",
2024-11-08,Saturday,20:00,"Witch Hunt",
2024-11-08,Saturday,21:30,"Laughing Matter",
2024-11-09,Sunday,20:00,"The CCB Improv Jam",Hot Olive
2024-11-10,WEDNESDAY,20:00,"Health Plan: A Deconstruction",
2024-11-10,THURSDAY,20:00,"Smash Cut Presents: The Improvised Movie",
2024-11-10,FRIDAY,20:00,"House Show",
2024-11-10,SATURDAY,20:00,"Exit Stage Left",
2024-11-10,SUNDAY,20:00,"The CCB Improv Jam",
2024-11-10,WEDNESDAY,21:30,"The Salon",
2024-11-10,THURSDAY,21:30,"The Hedge",
2024-11-10,FRIDAY,21:30,"Drive Time with Roadkill",
2024-11-10,SATURDAY,21:30,"It's That Time of the Month",
2024-11-10,FRIDAY,23:00,"No Joke",
2024-11-17,WEDNESDAY,20:00,"The Improvised Stand-Up Show",
2024-11-17,THURSDAY,20:00,"Truth Night",
2024-11-17,FRIDAY,20:00,"House Show",
2024-11-17,SATURDAY,20:00,"The Reunion: Love is Blind",
2024-11-17,SUNDAY,20:00,"The CCB Improv Jam",
2024-11-17,WEDNESDAY,21:30,"Mum's Gone to Iceland & Bloodthirsty",
2024-11-17,THURSDAY,21:30,"Action Jackson",
2024-11-17,FRIDAY,21:30,"Fun Time Stand Up Hour",
2024-11-17,SATURDAY,21:30,"Too Many Cooks",
2024-11-17,FRIDAY,23:00,"The Hedge",
2024-11-25,WEDNESDAY,20:00,"The Indie Improv Show",
2024-11-25,THURSDAY,20:00,"Tales Held Dear",
2024-11-25,FRIDAY,20:00,"Sketch Bomb",
2024-11-25,SATURDAY,20:00,"Angel: Albatross",
2024-11-25,SUNDAY,20:00,"The CCB Improv Jam",
2024-11-25,WEDNESDAY,21:30,"Blumpkin Abbey",
2024-11-25,THURSDAY,21:30,"Daisy Chain (LGBTQIA+ Ensemble Improv)",
2024-11-25,FRIDAY,21:30,"Teacher's Pet",
2024-11-25,SATURDAY,21:30,"Creepy Boys",
2024-11-25,FRIDAY,23:00,"The Confession: An Improv Show Worth Repenting For",
2024-12-01,WEDNESDAY,20:00,"The Dentist's Chair by Wet Teeth",
2024-12-01,THURSDAY,20:00,"Kringeli: Improv Comedy auf Deutsch",
2024-12-01,FRIDAY,20:00,"House Show",
2024-12-01,SATURDAY,20:00,"The Shakedown - Musical Improv",
2024-12-01,SUNDAY,20:00,"The CCB Improv Jam",
2024-12-01,WEDNESDAY,21:30,"Improvylicious Jam",
2024-12-01,THURSDAY,21:30,"Frei erfunden - Improv Comedy und Jam auf Deutsch",
2024-12-01,FRIDAY,21:30,"GLB - Improvised Comedy",
2024-12-01,SATURDAY,21:30,"Full Fat Bear Milk",
2024-12-01,FRIDAY,23:00,"Forms Night",
2024-12-08,Wednesday,20:00,"Health Plan: A Deconstruction",
2024-12-08,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2024-12-08,Friday,20:00,"House Show II",
2024-12-08,Saturday,20:00,"Witch Hunt",
2024-12-08,Sunday,20:00,"The CCB Improv Jam",
2024-12-08,Wednesday,21:30,"The Salon",
2024-12-08,Thursday,21:30,"The Hedge",
2024-12-08,Friday,21:30,"The Indie Improv Show",
2024-12-08,Saturday,21:30,"Teacher's Pet: Holiday Special",
2024-12-08,Friday,23:00,"No Joke",
2024-12-16,WEDNESDAY,20:00,"The Improvised Stand-Up Show",
2024-12-16,THURSDAY,20:00,"Truth Night",
2024-12-16,FRIDAY,20:00,"House Show",
2024-12-16,SATURDAY,20:00,"Miracle on Roseggerstraße: A Holiday Variety Spectacular",
2024-12-16,FRIDAY,21:30,"Drive Time with Roadkill",
2024-12-16,SATURDAY,21:30,"The CCB Improv Jam",
2025-01-05,Wednesday,20:00,"Health Plan: A Deconstruction",
2025-01-05,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2025-01-05,Friday,20:00,"House Show",
2025-01-05,Saturday,20:00,"The CCB Cage Match (Group Stage)",
2025-01-05,Sunday,20:00,"The CCB Improv Jam",
2025-01-05,Wednesday,21:30,"HAIRCUT",
2025-01-05,Thursday,21:30,"The Hedge",
2025-01-05,Friday,21:30,"The Indie Improv Show",
2025-01-05,Friday,23:00,"2-Prov Roulette",
2025-01-12,Wednesday,20:00,"The Improvised Stand-Up Show",
2025-01-12,Thursday,20:00,"Truth Night",
2025-01-12,Friday,20:00,"House Show",
2025-01-12,Saturday,20:00,"The CCB Cage Match (Semi-Finals)",
2025-01-12,Sunday,20:00,"The CCB Improv Jam",
2025-01-12,Wednesday,21:30,"Young & Dumb",
2025-01-12,Thursday,21:30,"Action Jackson",
2025-01-12,Friday,21:30,"Drive Time with Roadkill",
2025-01-12,Friday,23:00,"No Joke",
2025-01-26,Wednesday,20:00,"Dennis Racket & Oof!",
2025-01-26,Thursday,20:00,"Problemdackel",
2025-01-26,Friday,20:00,"House Show",
2025-01-26,Saturday,20:00,"The Shakedown (Musical Improv)",
2025-01-26,Sunday,20:00,"The CCB Improv Jam",
2025-01-26,Wednesday,21:30,"Two-prov Nite",
2025-01-26,Thursday,21:30,"Fun Time Stand Up Hour",
2025-01-26,Friday,21:30,"Sketch Bomb",
2025-01-26,Saturday,21:30,"Full Fat Bear Milk",
2025-01-26,Friday,23:00,"Dice Harder",
2025-02-02,Wednesday,20:00,"The Indie Improv Show",
2025-02-02,Thursday,20:00,"Kringel (Improv Comedy auf Deutsch)",
2025-02-02,Friday,20:00,"House Show",
2025-02-02,Saturday,20:00,"Witch Hunt",
2025-02-02,Sunday,20:00,"The CCB Improv Jam",Piss Baby
2025-02-02,Wednesday,21:30,"Improvylicious Jam",
2025-02-02,Thursday,21:30,"Frei erfunden (Improv Comedy und Jam auf Deutsch)",
2025-02-02,Friday,21:30,"GLB (Improvised Comedy)",
2025-02-02,Saturday,21:30,"LEGALISE KISSING IN BERLIN",
2025-02-02,Friday,23:00,"Forms Night",
2025-02-09,Wednesday,20:00,"Health Plan: A Deconstruction",
2025-02-09,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2025-02-09,Friday,20:00,"House Show",
2025-02-09,Saturday,20:00,"Laughing Matter: Int. Day of Women in Science",
2025-02-09,Sunday,20:00,"The CCB Improv Jam",
2025-02-09,Wednesday,21:30,"HAIRCUT",
2025-02-09,Thursday,21:30,"The Hedge",
2025-02-09,Friday,21:30,"Partner-prov",
2025-02-09,Saturday,21:30,"It's That Time of the Month!",
2025-02-16,WEDNESDAY,20:00,"The Improvised Stand-Up Show",
2025-02-16,THURSDAY,20:00,"Truth Night",
2025-02-16,FRIDAY,20:00,"House Show",
2025-02-16,SATURDAY,20:00,"Young & Dumb",
2025-02-16,SUNDAY,20:00,"The CCB Improv Jam",
2025-02-16,WEDNESDAY,21:30,"The Indie Improv Show",
2025-02-16,THURSDAY,21:30,"Action Jackson",
2025-02-16,FRIDAY,21:30,"Drive Time with Roadkill",
2025-02-16,SATURDAY,21:30,"Four Eyes - Storytelling & Improv",
2025-02-16,FRIDAY,23:00,"No Joke",
2025-02-23,Wednesday,20:00,"The Indie Improv Show",
2025-02-23,Thursday,20:00,"Teacher's Pet",
2025-02-23,Friday,20:00,"House Show",
2025-02-23,Saturday,20:00,"The Shakedown (Musical Improv)",
2025-02-23,Sunday,20:00,"Student Shows!",
2025-02-23,Thursday,21:30,"Daisy Chain - LGBTQIA+ Ensemble Improv",
2025-02-23,Friday,21:30,"The Glue Factory (presented by Funfdollar)",
2025-02-23,Saturday,21:30,"Full Fat Bear Milk",
2025-02-23,Friday,23:00,"The Hedge",
2025-03-02,Wednesday,20:00,"Berlin New Stand Up (CCB Showcase)",
2025-03-02,Thursday,20:00,"Kringel (Improv Comedy auf Deutsch)",
2025-03-02,Friday,20:00,"House Show",
2025-03-02,Saturday,20:00,"Witch Hunt",
2025-03-02,Sunday,20:00,"The CCB Improv Jam",Truthpaste
2025-03-02,Thursday,21:30,"Frei erfunden (Improv Comedy und Jam auf Deutsch)",
2025-03-02,Friday,21:30,"GLB (Improvised Comedy)",
2025-03-02,Saturday,21:30,"The Confession: An Improv Show Worth Repenting For",
2025-03-02,Friday,23:00,"Forms Night",
2025-03-09,Wednesday,20:00,"Deconstruction (Presented by Health Plan)",
2025-03-09,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2025-03-09,Friday,20:00,"House Show",
2025-03-09,Saturday,20:00,"The Yarn (Comedy Storytelling)",
2025-03-09,Sunday,20:00,"The CCB Improv Jam",
2025-03-09,Wednesday,21:30,"HAIRCUT",
2025-03-09,Thursday,21:30,"The Hedge",
2025-03-09,Friday,21:30,"The Indie Improv Show",
2025-03-09,Saturday,21:30,"It's That Time of the Month!",
2025-03-16,Wednesday,20:00,"The Improvised Stand-Up Show",
2025-03-16,Thursday,20:00,"Truth Night",
2025-03-16,Friday,20:00,"House Show",
2025-03-16,Saturday,20:00,"The Booking Committee Show",
2025-03-16,Sunday,20:00,"The CCB Improv Jam",Pissbaby
2025-03-16,Wednesday,21:30,"Turtle Logic: The Aquarium",
2025-03-16,Thursday,21:30,"Action Jackson (Just Noah & Matilde)",
2025-03-16,Friday,21:30,"Tales Held Dear",
2025-03-16,Saturday,21:30,"The Reunion: Real Housewives",
2025-03-16,Friday,23:00,"No Joke",
2025-03-23,Wednesday,20:00,"The Indie Improv Show",
2025-03-23,Thursday,20:00,"Teacher's Pet",
2025-03-23,Friday,20:00,"House Show",
2025-03-23,Saturday,20:00,"History Flakes - Live",
2025-03-23,Sunday,20:00,"The CCB Improv Jam",Dackel, hopefully
2025-03-23,Wednesday,21:30,"2-Prov Roulette",
2025-03-23,Thursday,21:30,"Daisy Chain - LGBTQIA+ Ensemble Improv",
2025-03-23,Friday,21:30,"The Glue Factory (presented by Funfdollar)",
2025-03-23,Saturday,21:30,"Drunk Classics: Little Shop of Horrors",
2025-03-23,Friday,23:00,"The Hedge",
2025-03-30,Wednesday,20:00,"Áine Gallagher: For the Love of Milseáin",
2025-03-30,Thursday,20:00,"Kringel (Improv Comedy auf Deutsch)",
2025-03-30,Friday,20:00,"House Show",
2025-03-30,Saturday,20:00,"The Shakedown (Musical Improv)",
2025-03-30,Sunday,20:00,"The CCB Improv Jam",Health Plan
2025-03-30,Wednesday,21:30,"Improvylicious Jam",
2025-03-30,Thursday,21:30,"Frei erfunden (Improv Comedy und Jam auf Deutsch)",
2025-03-30,Friday,21:30,"GLB (Improvised Comedy)",
2025-03-30,Saturday,21:30,"Full Fat Bear Milk",
2025-03-30,Friday,23:00,"Forms Night",
2025-04-06,Wednesday,20:00,"Health Plan: A Deconstruction",
2025-04-06,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2025-04-06,Friday,20:00,"House Show",
2025-04-06,Saturday,20:00,"Witch Hunt",
2025-04-06,Sunday,20:00,"The CCB Improv Jam",Tambourine Solo
2025-04-06,Wednesday,21:30,"Turtle Logic: The Aquarium",
2025-04-06,Thursday,21:30,"The Hedge",
2025-04-06,Friday,21:30,"The Indie Improv Show",
2025-04-06,Saturday,21:30,"Freddi Gralle: Swipe Therapy",
2025-04-06,Friday,23:00,"matthew liam healy improvises an hour of stand-up comedy",
2025-04-13,Wednesday,20:00,"The Improvised Stand-Up Show",
2025-04-13,Thursday,20:00,"Truth Night",
2025-04-13,Friday,20:00,"House Show",
2025-04-13,Saturday,20:00,"Laughing Matter",
2025-04-13,Sunday,20:00,"The 420 Show with Feelin' Dank (No jam this week!)",
2025-04-13,Wednesday,21:30,"Dennis Racket Deconstructs...",
2025-04-13,Thursday,21:30,"Action Jackson",
2025-04-13,Friday,21:30,"Drive Time (with Roadkill)",
2025-04-13,Saturday,21:30,"It's That Time of the Month!",
2025-04-13,Friday,23:00,"No Joke",
2025-04-20,Wednesday,20:00,"The Indie Improv Show",
2025-04-20,Thursday,20:00,"Teacher's Pet",
2025-04-20,Friday,20:00,"House Show",
2025-04-20,Saturday,20:00,"Micky Overman: Hold On",
2025-04-20,Sunday,20:00,"The CCB Improv Jam",Turtle Logic
2025-04-20,Wednesday,21:30,"Blumpkin Abbey",
2025-04-20,Thursday,21:30,"Daisy Chain - LGBTQIA+ Ensemble Improv",
2025-04-20,Friday,21:30,"The Glue Factory (presented by Fünfdollar)",
2025-04-20,Saturday,21:30,"Micky Overman: Hold On",
2025-04-20,Friday,23:00,"The Hedge",
2025-04-27,Wednesday,20:00,"Four Eyes (Storytelling & Improv)",
2025-04-27,Friday,20:00,"House Show",
2025-04-27,Saturday,20:00,"The Shakedown (Musical Improv)",
2025-04-27,Sunday,20:00,"The CCB Improv Jam",Tales Held Dear
2025-04-27,Wednesday,21:30,"Improvylicious Jam",
2025-04-27,Thursday,21:30,"Frei erfunden (Improv Comedy und Jam auf Deutsch)",
2025-04-27,Friday,21:30,"GLB",
2025-04-27,Saturday,21:30,"Full Fat Bear Milk",
2025-04-27,Friday,23:00,"Forms Night",
2025-05-04,WEDNESDAY,18:30,"Student Shows (Adv Truth)",
2025-05-04,THURSDAY,18:30,"Student Show (Level 2 - Long Form Fundamentals)",
2025-05-04,FRIDAY,18:30,"Student Show (Developing a Sketch Show)",
2025-05-04,SATURDAY,18:45,"Student Show (Level 3 - Long Form Techniques)",
2025-05-04,SUNDAY,18:45,"Student Shows (Adv Forms - Twoprov)",
2025-05-04,WEDNESDAY,19:45,"Student Shows (Intro to Sketch)",
2025-05-04,THURSDAY,20:00,"Smash Cut Presents: The Improvised Movie",
2025-05-04,FRIDAY,20:00,"House Show",
2025-05-04,SATURDAY,20:00,"Jamali Maddix: Aston",
2025-05-04,SUNDAY,20:00,"Student Shows (Level 2 - Long Form Fundamentals)",
2025-05-04,WEDNESDAY,21:00,"Student Shows (Level 5 - Long Form Performance)",
2025-05-04,SUNDAY,21:15,"Student Shows (Level 4 - Long Form Scenework)",
2025-05-04,THURSDAY,21:30,"The Hedge",
2025-05-04,FRIDAY,21:30,"The Indie Improv Show",
2025-05-04,SATURDAY,21:30,"Witch Hunt",
2025-05-04,FRIDAY,23:00,"There's One In Every Class",
2025-05-11,Wednesday,20:00,"Health Plan: A Deconstruction",
2025-05-11,Thursday,20:00,"Truth Night",
2025-05-11,Friday,20:00,"House Show",
2025-05-11,Saturday,20:00,"Brothers Telson",
2025-05-11,Sunday,20:00,"The CCB Improv Jam",Themprov
2025-05-11,Wednesday,21:30,"Turtle Logic: The Aquarium",
2025-05-11,Thursday,21:30,"Action Jackson",
2025-05-11,Friday,21:30,"Tales Held Dear",
2025-05-11,Saturday,21:30,"It's That Time of the Month!",
2025-05-11,Friday,23:00,"No Joke",
2025-05-18,Wednesday,20:00,"The Improvised Stand-Up Show",
2025-05-18,Thursday,20:00,"Teacher's Pet",
2025-05-18,Friday,20:00,"House Show",
